100	0.00
115	0.00
130	0.00
145	0.00
160	0.00
175	0.00
190	0.01
205	0.01
220	0.01
235	0.02
250	0.03
265	0.03
280	0.03
295	0.04
310	0.05
325	0.06
340	0.08
355	0.08
370	0.09
385	0.10
400	0.11
415	0.13
430	0.15
445	0.16
460	0.26
475	0.20
490	0.22
505	0.22
520	0.26
535	0.27
550	0.29
565	0.32
580	0.35
595	0.37
610	0.40
625	0.42
640	0.46
655	0.55
670	0.56
685	0.73
700	0.65
715	0.73
730	0.72
745	0.82
760	0.80
775	0.82
790	0.87
805	0.93
820	0.99
835	1.03
850	1.11
865	1.17
880	1.23
895	1.33
910	1.40
925	1.42
940	1.49
955	1.58
970	1.68
985	1.78
1000	1.82
